"CODE_TRANSPORTEUR","MODALITE_COLLECTE","NATURE_COLLECTE","SECTEUR_COLLECTE"
"121002","PAP","R̩gie","GRAND SUD"
"121003","PAP","R̩gie","GRAND SUD"
"121004","PAP","R̩gie","GRAND SUD"
"121005","PAP","R̩gie","GRAND SUD"
"124006","PAP","R̩gie","GRAND SUD"
"124024","PAP","R̩gie","GRAND SUD"
"126007","PAP","R̩gie","GRAND SUD"
"126008","PAP","R̩gie","GRAND SUD"
"126009","PAP","R̩gie","GRAND SUD"
"127010","PAP","R̩gie","GRAND SUD"
"128012","PAP","R̩gie","GRAND SUD"
"128013","PAP","R̩gie","GRAND SUD"
"128014","PAP","R̩gie","GRAND SUD"
"129016","PAP","R̩gie","GRAND SUD"
"130001","PAP","R̩gie","NORD-OUEST"
"130002","PAP","R̩gie","NORD-OUEST"
"130003","PAP","R̩gie","NORD-OUEST"
"130004","PAP","R̩gie","NORD-OUEST"
"130005","PAP","R̩gie","NORD-OUEST"
"130011","PAP","R̩gie","NORD-OUEST"
"131001","PAP","R̩gie","NORD-OUEST"
"131003","PAP","R̩gie","NORD-OUEST"
"133004","PAP","R̩gie","NORD-OUEST"
"134008","PAP","R̩gie","NORD-OUEST"
"134009","PAP","R̩gie","NORD-OUEST"
"134010","PAP","R̩gie","NORD-OUEST"
"140001","PAP","R̩gie","NORD-OUEST"
"142006","PAP","R̩gie","NORD-OUEST"
"142007","PAP","R̩gie","NORD-OUEST"
"143008","PAP","R̩gie","NORD-OUEST"
"143010","PAP","R̩gie","NORD-OUEST"
"151004","PAP","R̩gie","NORD-OUEST"
"151005","PAP","R̩gie","NORD-OUEST"
"151006","PAP","R̩gie","NORD-OUEST"
"151007","PAP","R̩gie","NORD-OUEST"
"151008","PAP","R̩gie","NORD-OUEST"
"151010","PAP","R̩gie","NORD-OUEST"
"151019","PAP","R̩gie","NORD-EST"
"151999","PAP","R̩gie","NORD-OUEST"
"160001","PAP","R̩gie","GRAND SUD"
"160002","PAP","R̩gie","GRAND SUD"
"160003","PAP","R̩gie","GRAND SUD"
"160004","PAP","R̩gie","GRAND SUD"
"310008","PAP","Prestation","NORD-EST"
"310009","PAP","Prestation","NORD-EST"
"310010","PAV","Prestation","MULTISECTEUR"
"310011","PAP","Prestation","NORD-EST"
"310012","PAP","Prestation","NORD-EST"
"310013","PAP","Prestation","NORD-EST"
"310014","PAP","Prestation","GRAND SUD"
"310015","PAP","Prestation","NORD-EST"
"310016","PAP","Prestation","NORD-EST"
"310017","PAP","Prestation","NORD-EST"
"310018","PAP","Prestation","NORD-EST"
"313010","PAP","Prestation","NORD-EST"
"320001","PAP","Prestation","SUD"
"320009","PAP","Prestation","SUD"
"320018","PAP","Prestation","SUD"
"320019","PAP","Prestation","SUD"
"320020","PAP","Prestation","SUD"
"320021","PAP","Prestation","SUD"
"320022","PAP","Prestation","SUD"
"320023","PAP","Prestation","SUD"
"320024","PAP","Prestation","SUD"
"320025","PAP","Prestation","SUD"
"320026","PAP","Prestation","SUD"
"320027","PAP","Prestation","GRAND SUD"
"330003","PAP","Prestation","NORD-OUEST"
"330005","PAP","Prestation","NORD-OUEST"
"330014","PAP","Prestation","NORD-OUEST"
"330021","PAP","Prestation","NORD-OUEST"
"330039","PAP","Prestation","GRAND SUD"
"330040","PAP","Prestation","NORD-OUEST"
"330041","PAP","Prestation","NORD-OUEST"
"330042","PAP","Prestation","SUD"
"330043","PAP","Prestation","NORD-OUEST"
"330044","PAP","Prestation","NORD-OUEST"
"330045","PAP","Prestation","SUD"
"330046","PAP","Prestation","NORD-EST"
"340001","PAV","Prestation","NORD-OUEST"
"340002","PAP","Prestation","NORD-OUEST"
"340003","PAP","Prestation","NORD-OUEST"
"341001","PAV","Prestation","NORD-EST"
"341002","PAV","Prestation","NORD-EST"
"360001","PAP","Prestation","GRAND SUD"
"360003","PAP","Prestation","GRAND SUD"
"360009","PAV","Prestation","GRAND SUD"
"360010","PAV","Prestation","GRAND SUD"
"360011","PAV","Prestation","GRAND SUD"
"000801","PAP","R̩gie","NORD-EST"
"000802","PAP","R̩gie","SUD"
"000804","PAP","R̩gie","NORD-OUEST"
"000806","PAP","R̩gie","GRAND SUD"
"100850","PAV","R̩gie","NORD-OUEST"
"110001","PAP","R̩gie","NORD-EST"
"110011","PAP","R̩gie","NORD-EST"
"115005","PAP","R̩gie","NORD-EST"
"120010","PAP","R̩gie","SUD"
"120012","PAP","R̩gie","SUD"
"120014","PAP","R̩gie","SUD"
"120016","PAP","R̩gie","SUD"
"120019","PAP","R̩gie","SUD"
"120020","PAP","R̩gie","SUD"
"120021","PAP","R̩gie","SUD"
"120022","PAP","R̩gie","SUD"
"120024","PAP","R̩gie","SUD"
"120043","PAP","R̩gie","SUD"
"129017","PAP","R̩gie","GRAND SUD"
"142003","PAP","R̩gie","NORD-OUEST"
"144011","PAP","R̩gie","NORD-OUEST"
"151021","PAV","R̩gie","SUD"
"160005","PAP","R̩gie","GRAND SUD"
"160006","PAP","R̩gie","GRAND SUD"
"310019","PAP","Prestation","NORD-EST"
"330009","PAP","Prestation","NORD-OUEST"
"340005","PAV","Prestation","NORD-OUEST"
"340006","PAV","Prestation","NORD-OUEST"
"340007","PAV","Prestation","NORD-OUEST"
"340008","PAP","Prestation","NORD-OUEST"
"340009","PAP","Prestation","NORD-OUEST"
"360002","PAV","Prestation","GRAND SUD"
"360006","PAV","Prestation","GRAND SUD"
"360007","PAV","Prestation","GRAND SUD"
"360008","PAV","Prestation","GRAND SUD"
"360012","PAP","R̩gie","GRAND SUD"
"360013","PAV","Prestation","GRAND SUD"
"360014","PAV","Prestation","GRAND SUD"
"360015","PAV","Prestation","GRAND SUD"
"110018","PAP","R̩gie","NORD-EST"
"110019","PAP","R̩gie","NORD-EST"
"110020","PAP","R̩gie","NORD-EST"
"110016","PAP","R̩gie","NORD-EST"
"110017","PAP","R̩gie","NORD-EST"
"140002","PAP","R̩gie","NORD-OUEST"
"160009","PAP","R̩gie","GRAND SUD"
"160010","PAP","R̩gie","GRAND SUD"
"160007","PAP","R̩gie","GRAND SUD"
"160008","PAP","R̩gie","GRAND SUD"
"170001","PAV","R̩gie","SUD"
"170002","PAV","R̩gie","SUD"
"170003","PAV","R̩gie","GRAND SUD"
"170004","PAV","R̩gie","GRAND SUD"
"170005","PAV","R̩gie","SUD"
"170006","PAV","R̩gie","SUD"
"170007","PAV","R̩gie","SUD"
"170008","PAV","R̩gie","GRAND SUD"
"170009","PAV","R̩gie","GRAND SUD"
"340004","PAV","Prestation","NORD-OUEST"
"310020","PAP","Prestation","NORD-EST"
"310021","PAP","Prestation","NORD-EST"
"310022","PAP","Prestation","NORD-EST"
"120056","PAP","R̩gie","SUD"
"120057","PAP","R̩gie","SUD"
"120058","PAP","R̩gie","SUD"
"120059","PAP","R̩gie","SUD"
"120060","PAP","R̩gie","SUD"
"120061","PAP","R̩gie","SUD"
"120062","PAP","R̩gie","SUD"
"120063","PAP","R̩gie","SUD"
"120064","PAP","R̩gie","SUD"
"120065","PAP","R̩gie","SUD"
"120066","PAP","R̩gie","SUD"
"120067","PAP","R̩gie","SUD"
"120068","PAP","R̩gie","SUD"
"110021","PAP","R̩gie","NORD-EST"
"110022","PAP","R̩gie","NORD-EST"
"110023","PAP","R̩gie","NORD-EST"
"110024","PAP","R̩gie","NORD-EST"
"110025","PAP","R̩gie","NORD-EST"
"120044","PAP","R̩gie","SUD"
"120045","PAP","R̩gie","SUD"
"120046","PAP","R̩gie","SUD"
"120047","PAP","R̩gie","SUD"
"120048","PAP","R̩gie","SUD"
"120049","PAP","R̩gie","SUD"
"120050","PAP","R̩gie","SUD"
"120051","PAP","R̩gie","SUD"
"120052","PAP","R̩gie","SUD"
"120053","PAP","R̩gie","SUD"
"120054","PAP","R̩gie","SUD"
"120055","PAP","R̩gie","SUD"
"360016","PAV","Prestation","GRAND SUD"
"360017","PAV","Prestation","GRAND SUD"
"360018","PAV","Prestation","GRAND SUD"
"310023","PAP","Prestation","NORD-EST"
"340010","PAP","Prestation","NORD-OUEST"
"340011","PAP","Prestation","NORD-OUEST"
"340012","PAP","Prestation","NORD-OUEST"
"340014","PAP","Prestation","NORD-OUEST"
"340015","PAP","Prestation","NORD-OUEST"
"340016","PAP","Prestation","NORD-OUEST"
"340013","PAP","Prestation","NORD-OUEST"
"316001","PAP","Prestation","MULTISECTEUR"
"316002","PAP","Prestation","MULTISECTEUR"
"316003","PAP","Prestation","MULTISECTEUR"
"314601","PAP","Prestation","MULTISECTEUR"
"316004","PAP","Prestation","MULTISECTEUR"
"326001","PAP","Prestation","MULTISECTEUR"
"326002","PAP","Prestation","MULTISECTEUR"
"326003","PAP","Prestation","MULTISECTEUR"
"326004","PAP","Prestation","MULTISECTEUR"
"360019","PAP","Prestation","GRAND SUD"
"360020","PAP","Prestation","GRAND SUD"
"110027","PAP","R̩gie","NORD-EST"
"110028","PAP","R̩gie","NORD-EST"
"110029","PAP","R̩gie","NORD-EST"
"110030","PAP","R̩gie","NORD-EST"
"110031","PAP","R̩gie","NORD-EST"
"140003","PAP","R̩gie","NORD-OUEST"
"140004","PAP","R̩gie","NORD-OUEST"
"140005","PAP","R̩gie","NORD-OUEST"
"140006","PAP","R̩gie","NORD-OUEST"
"140007","PAP","R̩gie","NORD-OUEST"
"120069","PAP","R̩gie","SUD"
"120070","PAP","R̩gie","SUD"
"160011","PAP","R̩gie","GRAND SUD"
"160012","PAP","R̩gie","GRAND SUD"
